,n_id,x,y,geometry,elevation,n_demand,dw_demand,lat,lon,cluster
0,R0,1172625.7969343567,-1307140.236531628,POINT (1172625.7969343567 -1307140.236531628),77.85712432861328,7,185.45757597940212,32.449146,-87.525788,0
1,R56,1172871.8824472593,-1307100.8876093717,POINT (1172871.8824472593 -1307100.8876093717),72.81452178955078,8,124.88501855476665,32.4493343,-87.5240254,0
2,R1,1172458.2972103977,-1306631.3700778356,POINT (1172458.2972103977 -1306631.3700778356),75.49811553955078,1,26.995859217229086,32.454748,-87.527017,0
3,R297,1172499.7870047577,-1306478.5608025924,POINT (1172499.7870047577 -1306478.5608025924),78.2745361328125,1,19.764507170229663,32.4540987,-87.5250974,0
4,R2,1172988.0148143622,-1309973.0348321574,POINT (1172988.0148143622 -1309973.0348321574),84.57620239257812,6,116.46240323649832,32.423583,-87.525483,0
5,R32,1173557.9071326961,-1309882.9325660132,POINT (1173557.9071326961 -1309882.9325660132),83.76522827148438,1,38.628815120686816,32.423561,-87.524063,0
6,R3,1173809.29958426,-1310115.2069363573,POINT (1173809.29958426 -1310115.2069363573),87.5400161743164,0,0.0,32.421211,-87.515609,-1
7,R278,1173532.4845086604,-1310102.3768838386,POINT (1173532.4845086604 -1310102.3768838386),84.27923583984375,0,0.0,32.4215539,-87.5156164,-1
8,R4,1173557.9071326961,-1309882.9325660132,POINT (1173557.9071326961 -1309882.9325660132),83.76522827148438,0,0.0,32.425477,-87.515792,0
9,R301,1173790.0442913738,-1309978.5709008893,POINT (1173790.0442913738 -1309978.5709008893),87.54065704345703,1,8.284379669031912,-87.51562588984,32.422456498923054,0
10,R302,1173776.5348723906,-1309879.4876271286,POINT (1173776.5348723906 -1309879.4876271286),87.36511993408203,2,44.010020421903135,-87.51563335769004,32.42335908940233,0
11,R303,1173762.997877052,-1309780.4081152135,POINT (1173762.997877052 -1309780.4081152135),88.0750961303711,8,143.19282705309558,-87.5156411192046,32.424261681758,0
12,R304,1173468.5341217218,-1309693.2054612706,POINT (1173468.5341217218 -1309693.2054612706),86.15477752685547,3,40.60661197340417,-87.5186230075252,32.425427853083725,0
13,R305,1173566.8297658141,-1309674.8216000749,POINT (1173566.8297658141 -1309674.8216000749),87.41854858398438,5,85.6834172980437,-87.51756301350018,32.425462694815415,0
14,R47,1173731.6825150168,-1309648.9285555438,POINT (1173731.6825150168 -1309648.9285555438),90.64678192138672,5,85.4318936325543,32.425393,-87.519683,0
15,R70,1173731.0331399231,-1309578.4752757458,POINT (1173731.0331399231 -1309578.4752757458),90.53459167480469,4,63.85347189529327,32.426107,-87.515703,0
16,R306,1173639.7368437815,-1309826.2647642859,POINT (1173639.7368437815 -1309826.2647642859),86.67072296142578,0,0.0,-87.51700133133421,32.42401437744226,0
17,R307,1173699.6815971965,-1309746.9782945365,POINT (1173699.6815971965 -1309746.9782945365),89.02550506591797,3,62.09161557523965,-87.51626231863644,32.42464352796799,0
18,R48,1173459.6135405481,-1309765.9027754685,POINT (1173459.6135405481 -1309765.9027754685),85.18241882324219,7,147.09158251699137,32.423616,-87.51794,0
19,R5,1173970.4021100614,-1307083.896986815,POINT (1173970.4021100614 -1307083.896986815),88.13398742675781,4,64.8655093211528,32.448183,-87.510367,0
20,R6,1173778.1212687304,-1306950.8740697985,POINT (1173778.1212687304 -1306950.8740697985),90.35396575927734,14,357.43426602887735,32.449514,-87.510304,0
21,R103,1173946.4240294432,-1307167.9508281082,POINT (1173946.4240294432 -1307167.9508281082),89.25665283203125,4,64.15230590793232,32.448161,-87.511188,0
22,R79,1174156.0677564405,-1307131.2138194882,POINT (1174156.0677564405 -1307131.2138194882),86.16809844970703,11,290.4742943449732,32.448068,-87.509787,0
23,R162,1173931.50279641,-1306867.7196949366,POINT (1173931.50279641 -1306867.7196949366),87.88175964355469,6,223.3558086399136,32.449517,-87.5098989,0
24,R163,1173765.2885544354,-1306834.429881169,POINT (1173765.2885544354 -1306834.429881169),89.28507232666016,11,321.88798529102445,32.449509,-87.511631,0
25,R7,1174123.531375552,-1308680.408690257,POINT (1174123.531375552 -1308680.408690257),85.92749786376953,7,106.21762697091232,32.436466,-87.510573,0
26,R8,1173974.882474734,-1308438.5993368987,POINT (1173974.882474734 -1308438.5993368987),84.39141845703125,3,44.38034247398685,32.436428,-87.511678,0
27,R308,1174267.3694872507,-1308277.324952478,POINT (1174267.3694872507 -1308277.324952478),87.5098876953125,3,32.63525894602434,-87.50828456809333,32.43702005199265,0
28,R309,1174173.228357217,-1308258.4522855019,POINT (1174173.228357217 -1308258.4522855019),87.49949645996094,0,0.0,-87.50925024859806,32.43731253770538,0
29,R310,1174112.9895371394,-1308201.0546239093,POINT (1174112.9895371394 -1308201.0546239093),89.59658813476562,2,33.16936263662176,-87.50980646885249,32.43790439680094,0
30,R25,1174061.9948310866,-1308369.652314577,POINT (1174061.9948310866 -1308369.652314577),84.59503173828125,11,145.89332708780287,32.436987,-87.507254,0
31,R311,1174107.586101562,-1308581.688133951,POINT (1174107.586101562 -1308581.688133951),84.67507934570312,9,98.45252904871015,-87.51038153116036,32.43451254586551,0
32,R312,1174081.7942008113,-1308485.3178889337,POINT (1174081.7942008113 -1308485.3178889337),84.66607666015625,8,96.42694276070904,-87.51052195067204,32.43540706664281,0
33,R30,1174092.0609986424,-1308946.0841977652,POINT (1174092.0609986424 -1308946.0841977652),88.2263412475586,8,108.45333590595001,32.43361,-87.510348,0
34,R9,1173800.6288669845,-1308315.0105075273,POINT (1173800.6288669845 -1308315.0105075273),79.07770538330078,7,87.99844861478346,32.436414,-87.512475,0
35,R41,1173995.6873818822,-1308476.7202590907,POINT (1173995.6873818822 -1308476.7202590907),84.46417236328125,3,24.28005332164779,32.435965,-87.5115842,1
36,R313,1173731.7291601363,-1308427.9207818492,POINT (1173731.7291601363 -1308427.9207818492),78.92359924316406,6,83.52761528653848,-87.51413022976308,32.43638041784575,0
37,R10,1173616.183942319,-1308504.3482224527,POINT (1173616.183942319 -1308504.3482224527),76.59883880615234,6,91.21255348597566,32.436373,-87.515191,0
38,R85,1173885.4955191712,-1308401.4951212197,POINT (1173885.4955191712 -1308401.4951212197),82.75395965576172,7,98.53732755719672,32.437298,-87.513251,0
39,R314,1173710.966952921,-1308195.3747226454,POINT (1173710.966952921 -1308195.3747226454),80.55742645263672,1,14.459057434222899,-87.51403239540852,32.43848433905742,0
40,R315,1173681.4493698627,-1308290.9190175582,POINT (1173681.4493698627 -1308290.9190175582),76.524658203125,1,9.975114421964498,-87.514473271317,32.4376699955567,0
41,R147,1173847.6332945235,-1308099.0063282507,POINT (1173847.6332945235 -1308099.0063282507),85.26044464111328,3,67.74225379695122,32.439296,-87.513585,0
42,R42,1173578.5914483783,-1308622.7677317774,POINT (1173578.5914483783 -1308622.7677317774),74.97870635986328,1,39.505406220014315,32.43585,-87.515451,0
43,R11,1174645.5552768023,-1307593.0828448334,POINT (1174645.5552768023 -1307593.0828448334),84.1486587524414,2,47.440767794044795,32.443883,-87.502699,0
44,R12,1174785.2266492131,-1307542.3856481828,POINT (1174785.2266492131 -1307542.3856481828),80.0895767211914,3,82.51670364079649,32.442632,-87.50337,0
45,R13,1174478.9455160024,-1307550.478788942,POINT (1174478.9455160024 -1307550.478788942),83.39957427978516,0,0.0,32.442089,-87.50367,0
46,R43,1174645.5552768023,-1307593.0828448334,POINT (1174645.5552768023 -1307593.0828448334),84.1486587524414,0,0.0,32.4429007,-87.50183,-1
47,R316,1175031.730209472,-1307960.3979552684,POINT (1175031.730209472 -1307960.3979552684),84.60101318359375,0,0.0,-87.49980358302662,32.438843255808955,0
48,R317,1174951.8040238358,-1307900.299662034,POINT (1174951.8040238358 -1307900.299662034),86.19686889648438,3,42.85022528001175,-87.50056339367231,32.439485219784736,0
49,R318,1174871.7351790601,-1307840.3916845876,POINT (1174871.7351790601 -1307840.3916845876),86.59453582763672,3,77.21273049001636,-87.5013249764303,32.440125666622784,0
50,R319,1174791.5865748003,-1307780.5906103207,POINT (1174791.5865748003 -1307780.5906103207),86.489501953125,1,31.067111805675836,-87.50208755526333,32.44076525825653,0
51,R320,1174711.0603981572,-1307721.2986641962,POINT (1174711.0603981572 -1307721.2986641962),86.34541320800781,6,93.15725152552247,-87.50285481445287,32.441400795298144,0
52,R109,1175251.4589471926,-1307982.3698311716,POINT (1175251.4589471926 -1307982.3698311716),83.78467559814453,8,110.47491660537791,32.438197,-87.499049,0
53,R59,1174508.3823968514,-1307508.6433557328,POINT (1174508.3823968514 -1307508.6433557328),83.3014144897461,2,109.93750712960927,32.4432319,-87.5050666,0
54,R14,1173741.1291228689,-1308100.035481627,POINT (1173741.1291228689 -1308100.035481627),84.22632598876953,5,75.80978665283094,32.440252,-87.513306,0
55,R49,1173738.8372395006,-1307880.9950240506,POINT (1173738.8372395006 -1307880.9950240506),78.14275360107422,4,40.358978006480214,32.440344,-87.513302,0
56,R15,1173624.0565332954,-1308111.1316530455,POINT (1173624.0565332954 -1308111.1316530455),83.00129699707031,4,59.511924907841745,32.4402436,-87.5146276,0
57,R16,1173580.5574830906,-1308014.0689850508,POINT (1173580.5574830906 -1308014.0689850508),80.636474609375,9,116.88785148610961,32.440275,-87.515159,0
58,R67,1173624.0565332954,-1308111.1316530455,POINT (1173624.0565332954 -1308111.1316530455),83.00129699707031,0,0.0,32.439351,-87.514833,0
59,R17,1174092.0609986424,-1308946.0841977652,POINT (1174092.0609986424 -1308946.0841977652),88.2263412475586,0,0.0,32.431292,-87.510251,0
60,R321,1174140.097738275,-1308779.0269219696,POINT (1174140.097738275 -1308779.0269219696),84.86294555664062,6,88.98182711261023,-87.51030778813119,32.43270754938114,0
61,R28,1174413.971437247,-1308934.1198654976,POINT (1174413.971437247 -1308934.1198654976),86.25648498535156,3,34.777232161915464,32.431292,-87.509423,0
62,R73,1173898.5043901904,-1309038.559110982,POINT (1173898.5043901904 -1309038.559110982),86.17058563232422,1,17.15965203303564,32.431279,-87.511041,0
63,R18,1175327.9597335148,-1308381.5716220308,POINT (1175327.9597335148 -1308381.5716220308),82.77838134765625,1,31.46760846996417,32.437458,-87.498487,0
